experiment,n_test,n_train,diameter,mic_type,classes_test,macro_f1,exact_acc,adj_acc,ordinal_mae
E1,84,2551,8,augmented_wavs,"[np.int64(0), np.int64(1), np.int64(2)]",0.37285223367697595,0.5595238095238095,1.0,0.44047619047619047
E2,128,2507,8,dinamico,"[np.int64(0), np.int64(1), np.int64(2)]",0.1750223242760556,0.21875,0.984375,0.796875
E3,583,2052,6,condensador,"[np.int64(0), np.int64(1), np.int64(2)]",0.3298008833854738,0.614065180102916,0.9879931389365352,0.3979416809605489
E4,1194,1441,6,condensador,"[np.int64(0), np.int64(1), np.int64(2)]",0.3163566666304517,0.6834170854271356,0.9715242881072027,0.34505862646566166
E5,244,2391,8,augmented_wavs,"[np.int64(0), np.int64(1)]",0.8433270769534723,0.8934426229508197,1.0,0.10655737704918032
E6,244,2391,8,augmented_wavs,"[np.int64(0), np.int64(1)]",0.6361520276413893,0.8319672131147541,1.0,0.1680327868852459
E7,158,2477,6,augmented_wavs,"[np.int64(0), np.int64(1)]",0.44366197183098594,0.7974683544303798,1.0,0.20253164556962025
