threshold,ablation_type,n_features,features,macro_f1,exact_acc,adj_acc,removed_feature
0.85,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,onset_rate,spectral_flatness_mean,duration_s",0.35260179216293547,0.5746140651801029,0.9365351629502573,harmonic_percussive_ratio
0.85,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,spectral_flatness_mean,duration_s",0.37784625896946533,0.5214408233276158,0.9399656946826758,onset_rate
0.85,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,duration_s",0.37992830507823006,0.5420240137221269,0.9502572898799314,spectral_flatness_mean
0.85,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean",0.3489682059555017,0.4888507718696398,0.934819897084048,duration_s
0.97,incremental,3,"spectral_contrast_mean,crest_factor,chroma_std",0.2943805874840358,0.79073756432247,1.0,
0.97,incremental,5,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean",0.4027334428024083,0.7650085763293311,0.9948542024013722,
0.97,incremental,7,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio",0.4412574982155568,0.5883361921097771,0.9879931389365352,
0.97,incremental,10,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.40630832468139616,0.5831903945111492,0.9862778730703259,
0.97,leave_one_out,9,"crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.38444576769699923,0.5248713550600344,0.9811320754716981,spectral_contrast_mean
0.97,leave_one_out,9,"spectral_contrast_mean,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.4702179328954583,0.6243567753001715,0.9862778730703259,crest_factor
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.40172630257376024,0.5694682675814752,0.9845626072041166,chroma_std
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.4325783043997428,0.7169811320754716,0.9982847341337907,zcr
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.4006781760975531,0.6500857632933105,0.9914236706689536,spectral_entropy_mean
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean,duration_s",0.4631923095691211,0.7152658662092625,0.9914236706689536,centroid_mean
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,onset_rate,spectral_flatness_mean,duration_s",0.40708608151530523,0.6397941680960549,0.9862778730703259,harmonic_percussive_ratio
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,spectral_flatness_mean,duration_s",0.4204353532721465,0.5728987993138936,0.9879931389365352,onset_rate
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,duration_s",0.4212082042962249,0.6157804459691252,0.9879931389365352,spectral_flatness_mean
0.97,leave_one_out,9,"spectral_contrast_mean,crest_factor,chroma_std,zcr,spectral_entropy_mean,centroid_mean,harmonic_percussive_ratio,onset_rate,spectral_flatness_mean",0.42394849570380017,0.5506003430531733,0.9862778730703259,duration_s
