2026-05-12 16:59:05,847 - DEBUG - CACHEDIR=C:\Users\ayala\AppData\Local\Temp\tmpi2m9hfl3
2026-05-12 16:59:05,847 - DEBUG - font search path [WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/ttf'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/afm'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/pdfcorefonts')]
2026-05-12 16:59:08,055 - INFO - generated new fontManager
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:26,943 - INFO - Live monitoring Qss/scss/defaultStyle.scss file for changes
2026-05-12 16:59:26,943 - ERROR - Error: Qss/scss/defaultStyle.scss file not found
2026-05-12 16:59:27,674 - DEBUG - Loaded backend qtagg version 6.10.0.
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-12 16:59:27,902 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\ayala\\Documents Thesis\\GUI_v5\\app\\dist\\GUI_v5_Base_de_Conocimiento\\_internal\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Artifakt Element Light Italic.ttf', name='Artifakt Element', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Gothic.ttf', name='Century Gothic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguisb.ttf', name='Segoe UI', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\DejaVuSerifCondensed-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\swissci.ttf', name='Swis721 Cn BT', style='italic', variant='normal', weight=400, stretch='condensed', size='scalable')) = 11.25
